WigleWifi-1.6,appRelease=2.88,model=SM-N980F,release=13,device=c1s,display=TP1A.220624.014.N980FXXSDHXH3,board=exynos990,brand=samsung,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
9c:34:26:a8:8d:60,Boba Cup,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-31 21:11:20,1,2412,-63,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
de:36:0c:66:54:90,NoExcuses,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],2024-10-31 21:11:20,149,5745,-93,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
9c:34:26:a8:8d:65,BobaCup-5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-31 21:11:20,36,5180,-74,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
88:b1:e1:2f:0b:42,Welearn,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-31 21:11:20,161,5805,-93,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
88:b1:e1:2f:0b:41,WendysWifi,[ESS],2024-10-31 21:11:20,161,5805,-94,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
94:09:c9:99:6c:04,CarPlay_6c04,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-31 21:11:20,1,2412,-94,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
d4:3f:32:2d:ac:0a,,[ESS],2024-10-31 21:11:20,128,5640,-79,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
f8:34:5a:13:bb:c8,Odessa wifi,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],2024-10-31 21:11:20,1,2412,-77,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
fa:34:5a:13:bb:c0,Odessa wifi,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],2024-10-31 21:11:20,149,5745,-86,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
5a:e4:03:e6:d9:4c,myBuick d94c,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-31 21:11:20,1,2412,-76,31.880830223821903,-102.38317295778299,866.956368325147,48,,,WIFI
